CustomerID,TotalCompras,TotalGastado,Recency,NumeroProductosDistintos,TicketPromedio
12346.0,2,0.0,325,1,0.0
12347.0,182,4310.0,1,103,23.681318681318682
12348.0,31,1797.24,74,22,57.97548387096774
12349.0,73,1757.55,18,73,24.076027397260273
12350.0,17,334.4,309,17,19.670588235294115
12352.0,95,1545.41,35,59,16.267473684210525
12353.0,4,89.0,203,4,22.25
12354.0,58,1079.4,231,58,18.610344827586207
12355.0,13,459.4,213,13,35.33846153846154
12356.0,59,2811.43,22,53,47.65135593220339
12357.0,131,6207.67,32,131,47.38679389312977
12358.0,19,1168.06,1,13,61.47684210526315
12359.0,254,6245.53,7,214,24.588700787401574
12360.0,129,2662.06,51,105,20.63612403100775
12361.0,10,189.9,286,10,18.990000000000002
12362.0,274,5154.58,2,201,18.812335766423356
12363.0,23,552.0,109,23,24.0
12364.0,85,1313.1,7,70,15.448235294117646
12365.0,23,320.69,290,22,13.94304347826087
12367.0,11,168.9,3,11,15.354545454545455
12370.0,167,3545.69,50,143,21.231676646706585
12371.0,63,1887.96,44,63,29.96761904761905
12372.0,52,1298.04,71,34,24.962307692307693
12373.0,14,364.6,310,14,26.042857142857144
12374.0,33,742.9300000000001,24,33,22.513030303030305
12375.0,18,455.42,2,14,25.301111111111112
12377.0,77,1628.12,314,72,21.144415584415583
12378.0,219,4008.62,129,219,18.30420091324201
12379.0,41,850.29,81,39,20.738780487804878
12380.0,105,2720.56,21,77,25.910095238095238
12381.0,91,1803.96,4,70,19.823736263736265
12383.0,100,1839.31,184,84,18.3931
12384.0,30,566.16,28,26,18.872
12386.0,10,401.9,337,10,40.19
12388.0,100,2780.66,15,57,27.8066
12390.0,32,549.84,79,32,17.1825
12391.0,100,460.89,21,92,4.6089
12393.0,64,1582.6000000000001,71,47,24.728125000000002
12394.0,27,1272.48,63,26,47.12888888888889
12395.0,159,2998.28,15,91,18.857106918238994
12397.0,126,2409.9,35,110,19.126190476190477
12398.0,85,1635.6599999999999,45,85,19.24305882352941
12399.0,59,1108.65,118,47,18.790677966101697
12401.0,5,84.3,302,5,16.86
12402.0,11,225.6,322,11,20.509090909090908
12403.0,6,409.7,49,5,68.28333333333333
12405.0,54,1710.39,148,54,31.67388888888889
12406.0,108,3280.75,21,92,30.377314814814813
12407.0,77,1708.1200000000001,49,57,22.183376623376624
12408.0,113,2842.57,32,81,25.155486725663717
12409.0,114,11056.93,78,91,96.99061403508772
12410.0,28,681.0799999999999,300,26,24.32428571428571
12412.0,61,1226.88,74,43,20.112786885245903
12413.0,40,694.15,66,29,17.353749999999998
12414.0,18,562.41,216,16,31.244999999999997
12415.0,778,123725.45,23,444,159.0301413881748
12417.0,198,3578.8,2,158,18.074747474747475
12418.0,34,668.58,112,34,19.664117647058823
12420.0,29,600.39,63,29,20.70310344827586
12421.0,46,806.27,15,33,17.527608695652173
12422.0,39,803.5600000000001,95,39,20.604102564102565
12423.0,126,1849.11,0,97,14.67547619047619
12424.0,30,1760.96,162,30,58.69866666666667
12425.0,36,777.2,77,36,21.58888888888889
12426.0,30,582.73,194,30,19.424333333333333
12427.0,35,708.37,11,26,20.239142857142856
12428.0,300,7877.2,25,258,26.25733333333333
12429.0,97,3750.4,8,82,38.66391752577319
12430.0,11,256.4,42,11,23.30909090909091
12431.0,240,6416.39,35,163,26.734958333333335
12432.0,108,5059.32,42,107,46.845555555555556
12433.0,420,13375.87,0,219,31.847309523809525
12434.0,54,765.19,84,49,14.170185185185186
12435.0,36,7829.89,79,31,217.49694444444447
12436.0,16,509.01,99,16,31.813125
12437.0,201,4896.66,1,119,24.36149253731343
12438.0,98,2906.85,13,84,29.66173469387755
